name,location,rating,votes,cost,cuisines,cluster,segment
Corner House Ice Cream,Banashankari,4.3,345,400.0,"Ice Cream, Desserts",1,Budget crowd-pleasers
Biryanis And More,Jayanagar,4.0,618,750.0,"Biryani, North Indian, Chinese, Andhra, South Indian",1,Budget crowd-pleasers
Roving Feast,Banashankari,4.0,1047,450.0,"Italian, Continental, Fast Food, Chinese, Momos",1,Budget crowd-pleasers
FreshMenu,Banashankari,3.9,627,450.0,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",1,Budget crowd-pleasers
Banashankari Donne Biriyani,Banashankari,3.8,104,300.0,"Biryani, Fast Food",1,Budget crowd-pleasers
Wamama,Banashankari,4.2,354,800.0,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",1,Budget crowd-pleasers
Five Star Chicken,Banashankari,3.6,55,200.0,"Fast Food, Burger",1,Budget crowd-pleasers
XO Belgian Waffle,Banashankari,3.7,17,400.0,"Desserts, Beverages",1,Budget crowd-pleasers
Peppy Peppers,Banashankari,4.2,244,800.0,"Italian, North Indian, Mexican",1,Budget crowd-pleasers
Goa 0 Km,Kumaraswamy Layout,3.6,163,800.0,"Goan, Seafood, North Indian, Chinese, Biryani",1,Budget crowd-pleasers
Chinese Kitchen,Basavanagudi,3.8,58,150.0,Chinese,1,Budget crowd-pleasers
1947,Banashankari,4.0,808,850.0,"North Indian, Chinese",1,Budget crowd-pleasers
Cake of the Day,Banashankari,3.7,78,150.0,Bakery,1,Budget crowd-pleasers
Kabab Magic,Basavanagudi,4.1,1720,400.0,"North Indian, Kebab, Chinese, Fast Food",1,Budget crowd-pleasers
Namma Brahmin's Idli,Jayanagar,3.6,34,100.0,South Indian,1,Budget crowd-pleasers
Gustoes Beer House,Banashankari,4.1,868,1200.0,"Continental, Italian, Mexican, North Indian, Chinese, Steak",2,Hidden gems
Sugar Rush,Banashankari,3.8,39,300.0,"Bakery, Desserts",1,Budget crowd-pleasers
Burger King,Basavanagudi,3.2,71,600.0,"Burger, Fast Food, Beverages",0,Underperformers
The Good Bowl,Banashankari,3.6,6,500.0,"Italian, North Indian, Biryani",1,Budget crowd-pleasers
The Biryani Cafe,Banashankari,4.1,520,300.0,"Biryani, Chinese, Kebab",1,Budget crowd-pleasers
LSD Cafe,Banashankari,2.9,84,700.0,"Chinese, Continental, Italian, North Indian",0,Underperformers
Rolls On Wheels,Banashankari,3.6,299,300.0,"Fast Food, Rolls, Momos",1,Budget crowd-pleasers
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,4.1,558,150.0,South Indian,1,Budget crowd-pleasers
Devanna Dum Biriyani Centre,Banashankari,3.6,28,300.0,"Biryani, South Indian",1,Budget crowd-pleasers
Kolbeh,Banashankari,3.7,22,500.0,Fast Food,1,Budget crowd-pleasers
Upahar Sagar,Banashankari,3.8,39,350.0,"South Indian, Chinese, North Indian",1,Budget crowd-pleasers
Kadalu Sea Food Restaurant,Vijay Nagar,3.8,153,500.0,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",1,Budget crowd-pleasers
Frozen Bottle,Banashankari,4.2,146,400.0,"Beverages, Desserts, Ice Cream",1,Budget crowd-pleasers
